date,Site,GPP,GPP.lower,GPP.upper,GPP.daily.sd,ER,ER.lower,ER.upper,ER.daily.sd,K600.daily,K600.daily.sd,GPP_daily_n_eff,GPP_daily_Rhat,ER_daily_n_eff,ER_daily_Rhat,K600_daily_n_eff,K600_daily_Rhat,warnings,errors
2021-12-19,SR02,-0.135962606,-0.782527137,0.520207631,0.324049809,-0.3794853,-2.19770683,-2.19770683,0.911112386,3.263697377,1.580595592,3399.028827,0.998639469,1684.790849,0.998533242,1413.272048,0.998778778,,
2022-03-29,SR02,1.894133804,1.028255453,2.702925992,0.434504271,-0.695397273,-1.843749364,-1.843749364,0.583114878,7.66890334,1.323691937,1812.539736,1.002885181,2748.417408,0.999853253,2434.531689,0.998971998,,
2022-03-30,SR02,2.39326973,1.473752968,3.329352317,0.465416998,-1.546057488,-2.770327273,-2.770327273,0.604465251,7.152108374,1.208836394,2631.788979,0.999489198,3758.396496,0.998337677,2997.230416,1.00012829,,
2022-03-31,SR02,-2.391609607,-3.193378415,-1.611841497,0.403422972,-0.165766571,-2.062967739,-2.062967739,0.943375252,1.933831844,1.008909317,2991.860991,0.999898336,1470.841306,1.002465592,942.0708036,1.003880045,,
2022-04-30,SR02,2.32939594,1.415665426,3.253261164,0.452944273,-0.049765967,-1.324699844,-1.324699844,0.648770576,6.590196217,1.205334348,2643.568368,0.999500384,3331.415745,1.000625037,2896.165143,0.998487965,,
2022-05-01,SR02,2.660043219,1.788703072,3.57113009,0.455399554,-0.411411102,-1.660574072,-1.660574072,0.624274643,6.03637256,1.090255382,2463.077449,0.999526544,3127.245399,0.9990676,2278.585594,0.998911735,,
2022-05-02,SR02,2.726544521,1.850989811,3.715143261,0.471369936,-1.108415894,-2.361728639,-2.361728639,0.622275556,5.714056094,0.927557205,2793.576755,0.999866792,3719.173502,0.999035569,2665.542908,0.999260197,,
2022-05-03,SR02,2.365728416,1.419685286,3.230028685,0.453827481,-2.337266631,-3.546224716,-3.546224716,0.62743385,5.252744526,1.023667075,2423.921692,1.000912261,2345.393581,1.000272572,3442.451444,0.999863001,,
2022-05-04,SR02,-0.804707968,-1.711621062,0.111978035,0.445402021,-2.785400469,-5.23883534,-5.23883534,1.261738938,2.001640104,1.019349342,3036.399063,0.999804658,1188.320727,1.001659777,1043.136929,1.002269572,,
2022-05-05,SR02,0.73370472,-0.087034322,1.527810346,0.413581105,-5.12998665,-7.698654182,-7.698654182,1.341627292,6.005787719,1.433146593,2569.380613,0.99914684,1891.090805,1.000003699,1772.918165,1.00065651,,
