CURB_ID,SN,streamname,tz_local,tz_standard,gage,city,latitude,longitude,start,end
AB,AB,Alewife,America/New_York,EST,1103025,BOS,42.40704077,-71.1339422,2021-11-23,2022-12-22
SB,SB,StonyBrook,America/New_York,EST,1104370,BOS,42.38555556,-71.2894444,2021-11-23,2022-12-20
BB,BB,Beaver,America/New_York,EST,1104501,BOS,42.3786972,-71.2223722,2021-11-23,2022-12-19
4006,FC,Fanno Creek,America/Los_Angeles,PST,14206950,PDX,45.403452,-122.7548185,2007-10-01,2024-04-29
4005,TR,Tualatin River,America/Los_Angeles,PST,14207200,PDX,45.35650877,-122.6850937,2007-10-01,2024-04-29
4004,CR,Clackamas River,America/Los_Angeles,PST,14211010,PDX,45.3792874,-122.5773134,2007-10-01,2024-04-29
4098,WR,Willamette River,America/Los_Angeles,PST,453027000000000,PDX,45.50748056,-122.6666139,2023-06-06,2023-09-28
4097,WR,Willamette River,America/Los_Angeles,PST,14211720,PDX,45.5175,-122.6691667,2009-01-22,2024-04-29
SR02,SR,South River,America/New_York,EST,02203900,ATL,33.66577778,-84.224,2012-04-05,2024-04-29
SR12,SR,South River,America/New_York,EST,02203655,ATL,33.67891667,-84.35813889,2007-10-01,2024-04-29
SR24,SR,South River,America/New_York,EST,02203603,ATL,33.68388889,-84.4152778,2007-10-01,2024-04-29
BC01,BC,Big Cottonwood Creek,America/Denver,MST,BC00.70,SLC,40.4941139,-111.9333417,2020-10-01,2022-09-30
EM01,EM,Emmigration Creek,America/Denver,MST,EM_01.62,SLC,40.730271,-111.856363,2020-10-01,2022-09-30
LC02,LC,Little Cottonwood Creek,America/Denver,MST,LC_00.53,SLC,40.6642699,-111.8988251,2023-02-20,2023-04-01
MC02,MC,Mill Creek,America/Denver,MST,MC_01.08,SLC,40.7062526,-111.9046464,2020-10-01,2022-09-30
PC01,PC,Parleys Creek,America/Denver,MST,PC_02.06,SLC,40.724247,-111.856495,2020-10-01,2022-09-30
